title,linkn,imgurl,category
"Huffy Stone Mountain Hardtail Mountain Bike for Boys/Girls/Men/Women, 20""/24""/26"" Sizes, 6 or 21 Speed Shimano Twist Shifting, Front or Dual Suspension, Comfort Saddle, Sleek Colors",https://www.amazon.com/Huffy-Mountain-21-Speed-Hardtail-26-inch/dp/B0CCSM7VNF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.-skbktNvR0Lgn9zHQ5jCCjecXTqXbLlUfmP4hRfG8D9Sy7wa7lETUTNpAg9afflZBMoWs3ZvpbQ1po8FXIsf2NLlKZO1tydeeZyBy1hmHvT3X3DPxLeB7GuQf7OF36hh-_gjpEE99EE139CDTrHyiv-ClJVtnQFUwwQH0m8t5FIhft6gsEIAH2SVU1bJMSmgIvMANgQRmTaxmXqWU4s7CumE2wNP0Ew-TQmfSrwRpbI.nhN-aNV7zcGpGSlS8J-a3_N9YULfsWkLCXMOfLiBWvw&dib_tag=se&keywords=bicycle&qid=1718613654&sr=8-1,https://m.media-amazon.com/images/I/71X+l+AirLL._AC_SY300_SX300_.jpg,bicycle
"Outroad 26 Inch Folding Mountain Bike, 21 Speed Full Suspension High-Carbon Steel MTB Foldable Bicycle, Dual Disc Brake Non-Slip Folding Bikes for Adults/Men/Women, Black, Orange and Green",https://www.amazon.com/Mountain-Suspension-High-Carbon-Foldable-Non-Slip/dp/B09WYQK32Q/ref=sr_1_2?dib=eyJ2IjoiMSJ9.-skbktNvR0Lgn9zHQ5jCCjecXTqXbLlUfmP4hRfG8D9Sy7wa7lETUTNpAg9afflZBMoWs3ZvpbQ1po8FXIsf2NLlKZO1tydeeZyBy1hmHvT3X3DPxLeB7GuQf7OF36hh-_gjpEE99EE139CDTrHyiv-ClJVtnQFUwwQH0m8t5FIhft6gsEIAH2SVU1bJMSmgIvMANgQRmTaxmXqWU4s7CumE2wNP0Ew-TQmfSrwRpbI.nhN-aNV7zcGpGSlS8J-a3_N9YULfsWkLCXMOfLiBWvw&dib_tag=se&keywords=bicycle&qid=1718613654&sr=8-2,https://m.media-amazon.com/images/I/71LCosn-hVL.__AC_SX300_SY300_QL70_ML2_.jpg,bicycle
"sixthreezero EVRYjourney Women's Beach Cruiser Bike, Step Through Hybrid Bicycle, 24 or 26 Inch Wheels, Multiple Speed Options and Colors",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNTQxODcwODc5Mjg2OTA3OjE3MTg2MTM2NTQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDExODMzNzcwNjEwMjo6MDo6&url=%2Fsixthreezero-EVRYjourney-7-Speed-Step-Through-Cruiser%2Fdp%2FB011A4HBTC%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.beae77f0-d605-4684-87b5-7d50dac21a57%253Aamzn1.sym.beae77f0-d605-4684-87b5-7d50dac21a57%26cv_ct_cx%3Dbicycle%26dib%3DeyJ2IjoiMSJ9.9kQZ8KUx9Krj6UZX8Hw2rgGH6ND8ybdoF7YhjMuX2WAh-_NfRSTMoUyGym_nrweJ3sgrm7BRtvouTaVXP1kyYA.0SO2EZYdz9vBlTtjfzHwxKW7nAiSpVDd6lCgqagvsgU%26dib_tag%3Dse%26keywords%3Dbicycle%26pd_rd_i%3DB011A4HBTC%26pd_rd_r%3D0dad73af-2f43-4c94-94b3-94c24c437891%26pd_rd_w%3DaD4DW%26pd_rd_wg%3D4KVen%26pf_rd_p%3Dbeae77f0-d605-4684-87b5-7d50dac21a57%26pf_rd_r%3D7PYQ68BDBW62HKCEZBZ1%26qid%3D1718613654%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-9428117c-b940-4daa-97e9-ad363ada7940-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/81tG4ROSOeL.__AC_SX300_SY300_QL70_ML2_.jpg,bicycle
YOSUDA Indoor Cycling Bike Brake Pad/Magnetic Stationary Bike - Cycle Bike with Ipad Mount & Comfortable Seat Cushion,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNTQxODcwODc5Mjg2OTA3OjE3MTg2MTM2NTQ6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDAzMTc5NzM1NzU5ODo6MTo6&url=%2FYOSUDA-Indoor-Cycling-Bike-Stationary%2Fdp%2FB07D528W98%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.beae77f0-d605-4684-87b5-7d50dac21a57%253Aamzn1.sym.beae77f0-d605-4684-87b5-7d50dac21a57%26cv_ct_cx%3Dbicycle%26dib%3DeyJ2IjoiMSJ9.9kQZ8KUx9Krj6UZX8Hw2rgGH6ND8ybdoF7YhjMuX2WAh-_NfRSTMoUyGym_nrweJ3sgrm7BRtvouTaVXP1kyYA.0SO2EZYdz9vBlTtjfzHwxKW7nAiSpVDd6lCgqagvsgU%26dib_tag%3Dse%26keywords%3Dbicycle%26pd_rd_i%3DB07D528W98%26pd_rd_r%3D0dad73af-2f43-4c94-94b3-94c24c437891%26pd_rd_w%3DaD4DW%26pd_rd_wg%3D4KVen%26pf_rd_p%3Dbeae77f0-d605-4684-87b5-7d50dac21a57%26pf_rd_r%3D7PYQ68BDBW62HKCEZBZ1%26qid%3D1718613654%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-9428117c-b940-4daa-97e9-ad363ada7940-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/61CCbx3dtkS.__AC_SX300_SY300_QL70_ML2_.jpg,bicycle
"Retrospec Koda Plus Kids Bike for Boys & Girls Ages 4-6 Years - 16""",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNTQxODcwODc5Mjg2OTA3OjE3MTg2MTM2NTQ6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDE1MDIwNDgxMTY5ODo6Mjo6&url=%2FRetrospec-Koda-Plus-Girls-Years%2Fdp%2FB0BSMVFD2G%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.beae77f0-d605-4684-87b5-7d50dac21a57%253Aamzn1.sym.beae77f0-d605-4684-87b5-7d50dac21a57%26cv_ct_cx%3Dbicycle%26dib%3DeyJ2IjoiMSJ9.9kQZ8KUx9Krj6UZX8Hw2rgGH6ND8ybdoF7YhjMuX2WAh-_NfRSTMoUyGym_nrweJ3sgrm7BRtvouTaVXP1kyYA.0SO2EZYdz9vBlTtjfzHwxKW7nAiSpVDd6lCgqagvsgU%26dib_tag%3Dse%26keywords%3Dbicycle%26pd_rd_i%3DB0BSMVFD2G%26pd_rd_r%3D0dad73af-2f43-4c94-94b3-94c24c437891%26pd_rd_w%3DaD4DW%26pd_rd_wg%3D4KVen%26pf_rd_p%3Dbeae77f0-d605-4684-87b5-7d50dac21a57%26pf_rd_r%3D7PYQ68BDBW62HKCEZBZ1%26qid%3D1718613654%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-9428117c-b940-4daa-97e9-ad363ada7940-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/8157ph651BL.__AC_SX300_SY300_QL70_ML2_.jpg,bicycle
"Heybike Cityscape Electric Bike 350W(Peak 500W) Electric City Cruiser Bicycle Up to 40 Miles Removable Battery, 7-Speed and Dual Shock Absorber, 26"" Electric Commuter Bike for Adults",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNTQxODcwODc5Mjg2OTA3OjE3MTg2MTM2NTQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA4OTU3Mzc4NDIwMjo6Mzo6&url=%2FHeybike-Cityscape-Electric-Bicycle-Up-Removable%2Fdp%2FB094MGWM5P%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.beae77f0-d605-4684-87b5-7d50dac21a57%253Aamzn1.sym.beae77f0-d605-4684-87b5-7d50dac21a57%26cv_ct_cx%3Dbicycle%26dib%3DeyJ2IjoiMSJ9.9kQZ8KUx9Krj6UZX8Hw2rgGH6ND8ybdoF7YhjMuX2WAh-_NfRSTMoUyGym_nrweJ3sgrm7BRtvouTaVXP1kyYA.0SO2EZYdz9vBlTtjfzHwxKW7nAiSpVDd6lCgqagvsgU%26dib_tag%3Dse%26keywords%3Dbicycle%26pd_rd_i%3DB094MGWM5P%26pd_rd_r%3D0dad73af-2f43-4c94-94b3-94c24c437891%26pd_rd_w%3DaD4DW%26pd_rd_wg%3D4KVen%26pf_rd_p%3Dbeae77f0-d605-4684-87b5-7d50dac21a57%26pf_rd_r%3D7PYQ68BDBW62HKCEZBZ1%26qid%3D1718613654%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-9428117c-b940-4daa-97e9-ad363ada7940-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/71FBH2rxK8L.__AC_SX300_SY300_QL70_ML2_.jpg,bicycle
"Royalbaby Freestyle Kids Bike 12 14 16 18 Inch Sport Bicycle for Boys Girls Ages 3-10 Years, Multiple Color Options",https://www.amazon.com/RoyalBaby-Freestyle-Training-Kickstand-Children/dp/B00D3EQB3K/ref=sr_1_4?dib=eyJ2IjoiMSJ9.-skbktNvR0Lgn9zHQ5jCCjecXTqXbLlUfmP4hRfG8D9Sy7wa7lETUTNpAg9afflZBMoWs3ZvpbQ1po8FXIsf2NLlKZO1tydeeZyBy1hmHvT3X3DPxLeB7GuQf7OF36hh-_gjpEE99EE139CDTrHyiv-ClJVtnQFUwwQH0m8t5FIhft6gsEIAH2SVU1bJMSmgIvMANgQRmTaxmXqWU4s7CumE2wNP0Ew-TQmfSrwRpbI.nhN-aNV7zcGpGSlS8J-a3_N9YULfsWkLCXMOfLiBWvw&dib_tag=se&keywords=bicycle&qid=1718613654&sr=8-4,https://m.media-amazon.com/images/I/71gamiDc43L.__AC_SX300_SY300_QL70_ML2_.jpg,bicycle
"Schwinn Discover Adult Hybrid Bike for Men and Women, 700c Wheels, 21-Speeds, Step-Through or Step-Over Frame, Front and Rear Fenders, Rear Cargo Rack",https://www.amazon.com/Schwinn-Discover-Featuring-Aluminum-Drivetrain/dp/B0030U8SU6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.-skbktNvR0Lgn9zHQ5jCCjecXTqXbLlUfmP4hRfG8D9Sy7wa7lETUTNpAg9afflZBMoWs3ZvpbQ1po8FXIsf2NLlKZO1tydeeZyBy1hmHvT3X3DPxLeB7GuQf7OF36hh-_gjpEE99EE139CDTrHyiv-ClJVtnQFUwwQH0m8t5FIhft6gsEIAH2SVU1bJMSmgIvMANgQRmTaxmXqWU4s7CumE2wNP0Ew-TQmfSrwRpbI.nhN-aNV7zcGpGSlS8J-a3_N9YULfsWkLCXMOfLiBWvw&dib_tag=se&keywords=bicycle&qid=1718613654&sr=8-6,https://m.media-amazon.com/images/I/81BADe3mSFL.__AC_SY300_SX300_QL70_ML2_.jpg,bicycle
"Mongoose Malus Mens and Women Fat Tire Mountain Bike, 26-Inch Bicycle Wheels, 4-Inch Wide Knobby Tires, Steel Frame, 7 Speed Drivetrain, Shimano Rear Derailleur, Disc Brakes",https://www.amazon.com/Mongoose-Mountain-26-Inch-Shifters-Mechanical/dp/B00TYB8Q7A/ref=sr_1_8?dib=eyJ2IjoiMSJ9.-skbktNvR0Lgn9zHQ5jCCjecXTqXbLlUfmP4hRfG8D9Sy7wa7lETUTNpAg9afflZBMoWs3ZvpbQ1po8FXIsf2NLlKZO1tydeeZyBy1hmHvT3X3DPxLeB7GuQf7OF36hh-_gjpEE99EE139CDTrHyiv-ClJVtnQFUwwQH0m8t5FIhft6gsEIAH2SVU1bJMSmgIvMANgQRmTaxmXqWU4s7CumE2wNP0Ew-TQmfSrwRpbI.nhN-aNV7zcGpGSlS8J-a3_N9YULfsWkLCXMOfLiBWvw&dib_tag=se&keywords=bicycle&qid=1718613654&sr=8-8,https://m.media-amazon.com/images/I/81NSMI7pFLL.__AC_SY300_SX300_QL70_ML2_.jpg,bicycle
"Core Electric Bike for Adults -468Wh Removable Built in Battery, Peak 500W Brushless Motor Mountain Ebike, 26X2.1 Tire Step Over Bicycle with 7 Speed, Max 50 Miles, Commute E Bikes",https://www.amazon.com/ACTBEST-Electric-Removable-Brushless-Mountain/dp/B0CM9HK6HS/ref=sr_1_9?dib=eyJ2IjoiMSJ9.-skbktNvR0Lgn9zHQ5jCCjecXTqXbLlUfmP4hRfG8D9Sy7wa7lETUTNpAg9afflZBMoWs3ZvpbQ1po8FXIsf2NLlKZO1tydeeZyBy1hmHvT3X3DPxLeB7GuQf7OF36hh-_gjpEE99EE139CDTrHyiv-ClJVtnQFUwwQH0m8t5FIhft6gsEIAH2SVU1bJMSmgIvMANgQRmTaxmXqWU4s7CumE2wNP0Ew-TQmfSrwRpbI.nhN-aNV7zcGpGSlS8J-a3_N9YULfsWkLCXMOfLiBWvw&dib_tag=se&keywords=bicycle&qid=1718613654&sr=8-9,https://m.media-amazon.com/images/I/71nCw3dVUZL.__AC_SX300_SY300_QL70_ML2_.jpg,bicycle
