title,linkn,imgurl,category
"Fruit of the Loom Eversoft Fleece Hoodies, Pullover & Full Zip, Moisture Wicking & Breathable, Sizes S-4X",https://www.amazon.com/Fruit-Loom-Eversoft-Sweatshirts-Zip-Black/dp/B08YH1VZKF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.TiTgc-cbOPMssjKCILq2pzmBpiF3a43FHcHBZ9ANFU_YiIp6juqHfG5EZYREceE0EMzr4457rrccmiKqR_OSdouV_4oOKI9ork1a9reROEmBm_LqCpQbiUqZn5qIm3KDPlBd5rWGb_hUZKQNm-JWhmFuR-a6z3M9JGr-n7UhC31xiv9BBgSaPqZuafU1h0YgbyHnNpZ-28UzVq7IaR1RqnIH5gjYrwp8jezwe5PjCasqq_Pd9mtIgiaLsLzjjttrxN7CxkH6tvSMdFQFq7_lNiDcE-Td0plYVjA0MGhl1RA.8TgLmLq99dK4NG1QhkAdAFODlvBz11MWVNA5JZPiMPI&dib_tag=se&keywords=jacket&qid=1718615417&sr=8-1,https://m.media-amazon.com/images/I/71h2MZlZgLL.__AC_SX342_SY445_QL70_ML2_.jpg,jacket
"Hanes mens Ecosmart Fleece Full-zip Hoodie, Zip-up Hooded Sweatshirt",https://www.amazon.com/Hanes-Full-zip-Eco-smart-athletic-sweatshirts/dp/B00JUM4CT4/ref=sr_1_2?dib=eyJ2IjoiMSJ9.TiTgc-cbOPMssjKCILq2pzmBpiF3a43FHcHBZ9ANFU_YiIp6juqHfG5EZYREceE0EMzr4457rrccmiKqR_OSdouV_4oOKI9ork1a9reROEmBm_LqCpQbiUqZn5qIm3KDPlBd5rWGb_hUZKQNm-JWhmFuR-a6z3M9JGr-n7UhC31xiv9BBgSaPqZuafU1h0YgbyHnNpZ-28UzVq7IaR1RqnIH5gjYrwp8jezwe5PjCasqq_Pd9mtIgiaLsLzjjttrxN7CxkH6tvSMdFQFq7_lNiDcE-Td0plYVjA0MGhl1RA.8TgLmLq99dK4NG1QhkAdAFODlvBz11MWVNA5JZPiMPI&dib_tag=se&keywords=jacket&qid=1718615417&sr=8-2,https://m.media-amazon.com/images/I/71QyRZzbaUL.__AC_SY445_SX342_QL70_ML2_.jpg,jacket
Men's Bomber Jacket Fashion Stylish Lightweight Windbreaker Spring Fall Casual Jackets for Men,https://www.amazon.com/XiaoYouYu-Fashion-Stylish-Lightweight-Windbreaker/dp/B0CCSLJ4CQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.TiTgc-cbOPMssjKCILq2pzmBpiF3a43FHcHBZ9ANFU_YiIp6juqHfG5EZYREceE0EMzr4457rrccmiKqR_OSdouV_4oOKI9ork1a9reROEmBm_LqCpQbiUqZn5qIm3KDPlBd5rWGb_hUZKQNm-JWhmFuR-a6z3M9JGr-n7UhC31xiv9BBgSaPqZuafU1h0YgbyHnNpZ-28UzVq7IaR1RqnIH5gjYrwp8jezwe5PjCasqq_Pd9mtIgiaLsLzjjttrxN7CxkH6tvSMdFQFq7_lNiDcE-Td0plYVjA0MGhl1RA.8TgLmLq99dK4NG1QhkAdAFODlvBz11MWVNA5JZPiMPI&dib_tag=se&keywords=jacket&qid=1718615417&sr=8-3,https://m.media-amazon.com/images/I/71gvJnWVtyL.__AC_SY445_SX342_QL70_ML2_.jpg,jacket
"Champion Men's Jacket, Stadium Packable Wind and Water Resistant Jacket (Reg. Or Big & Tall)",https://www.amazon.com/Champion-Packable-Jacket-Black-Large/dp/B078GMT64C/ref=sr_1_4?dib=eyJ2IjoiMSJ9.TiTgc-cbOPMssjKCILq2pzmBpiF3a43FHcHBZ9ANFU_YiIp6juqHfG5EZYREceE0EMzr4457rrccmiKqR_OSdouV_4oOKI9ork1a9reROEmBm_LqCpQbiUqZn5qIm3KDPlBd5rWGb_hUZKQNm-JWhmFuR-a6z3M9JGr-n7UhC31xiv9BBgSaPqZuafU1h0YgbyHnNpZ-28UzVq7IaR1RqnIH5gjYrwp8jezwe5PjCasqq_Pd9mtIgiaLsLzjjttrxN7CxkH6tvSMdFQFq7_lNiDcE-Td0plYVjA0MGhl1RA.8TgLmLq99dK4NG1QhkAdAFODlvBz11MWVNA5JZPiMPI&dib_tag=se&keywords=jacket&qid=1718615417&sr=8-4,https://m.media-amazon.com/images/I/71PK4ZivCmL.__AC_SY445_SX342_QL70_ML2_.jpg,jacket
"Jerzees Men’s NuBlend Fleece Hoodies & Sweatshirts, Cotton Blend, Sizes S-3X",https://www.amazon.com/Jerzees-NuBlend-Sweatshirts-Hoodies-Zip-Black/dp/B00T7U008G/ref=sr_1_7?dib=eyJ2IjoiMSJ9.TiTgc-cbOPMssjKCILq2pzmBpiF3a43FHcHBZ9ANFU_YiIp6juqHfG5EZYREceE0EMzr4457rrccmiKqR_OSdouV_4oOKI9ork1a9reROEmBm_LqCpQbiUqZn5qIm3KDPlBd5rWGb_hUZKQNm-JWhmFuR-a6z3M9JGr-n7UhC31xiv9BBgSaPqZuafU1h0YgbyHnNpZ-28UzVq7IaR1RqnIH5gjYrwp8jezwe5PjCasqq_Pd9mtIgiaLsLzjjttrxN7CxkH6tvSMdFQFq7_lNiDcE-Td0plYVjA0MGhl1RA.8TgLmLq99dK4NG1QhkAdAFODlvBz11MWVNA5JZPiMPI&dib_tag=se&keywords=jacket&qid=1718615417&sr=8-7,https://m.media-amazon.com/images/I/81uMjvACHOL.__AC_SX342_SY445_QL70_ML2_.jpg,jacket
Columbia Steens Mountain 2.0 Full Zip Fleece Jacket,https://www.amazon.com/Columbia-Steens-Mountain-Fleece-Classic/dp/B0076R6N42/ref=sr_1_9?dib=eyJ2IjoiMSJ9.TiTgc-cbOPMssjKCILq2pzmBpiF3a43FHcHBZ9ANFU_YiIp6juqHfG5EZYREceE0EMzr4457rrccmiKqR_OSdouV_4oOKI9ork1a9reROEmBm_LqCpQbiUqZn5qIm3KDPlBd5rWGb_hUZKQNm-JWhmFuR-a6z3M9JGr-n7UhC31xiv9BBgSaPqZuafU1h0YgbyHnNpZ-28UzVq7IaR1RqnIH5gjYrwp8jezwe5PjCasqq_Pd9mtIgiaLsLzjjttrxN7CxkH6tvSMdFQFq7_lNiDcE-Td0plYVjA0MGhl1RA.8TgLmLq99dK4NG1QhkAdAFODlvBz11MWVNA5JZPiMPI&dib_tag=se&keywords=jacket&qid=1718615417&sr=8-9,https://m.media-amazon.com/images/I/71wDRLb516L.__AC_SY445_SX342_QL70_ML2_.jpg,jacket
"Hanes Womens Hoodie, Ecosmart Fleece Full-zip Hoodie, Zip-up Hooded Sweatshirt",https://www.amazon.com/Hanes-Womens-Full-Hood-Large/dp/B01B77VXLY/ref=sr_1_11?dib=eyJ2IjoiMSJ9.TiTgc-cbOPMssjKCILq2pzmBpiF3a43FHcHBZ9ANFU_YiIp6juqHfG5EZYREceE0EMzr4457rrccmiKqR_OSdouV_4oOKI9ork1a9reROEmBm_LqCpQbiUqZn5qIm3KDPlBd5rWGb_hUZKQNm-JWhmFuR-a6z3M9JGr-n7UhC31xiv9BBgSaPqZuafU1h0YgbyHnNpZ-28UzVq7IaR1RqnIH5gjYrwp8jezwe5PjCasqq_Pd9mtIgiaLsLzjjttrxN7CxkH6tvSMdFQFq7_lNiDcE-Td0plYVjA0MGhl1RA.8TgLmLq99dK4NG1QhkAdAFODlvBz11MWVNA5JZPiMPI&dib_tag=se&keywords=jacket&qid=1718615417&sr=8-11,https://m.media-amazon.com/images/I/7155i6yw6uL.__AC_SY445_SX342_QL70_ML2_.jpg,jacket
AUTOMET Womens Oversized Leather Jackets Faux Suede Fall Fashion Motorcycle Coats Winter Outfits Clothes 2024,https://www.amazon.com/AUTOMET-Leather-Jackets-Oversized-Motorcycle/dp/B0C9GLJLTV/ref=sr_1_12?dib=eyJ2IjoiMSJ9.TiTgc-cbOPMssjKCILq2pzmBpiF3a43FHcHBZ9ANFU_YiIp6juqHfG5EZYREceE0EMzr4457rrccmiKqR_OSdouV_4oOKI9ork1a9reROEmBm_LqCpQbiUqZn5qIm3KDPlBd5rWGb_hUZKQNm-JWhmFuR-a6z3M9JGr-n7UhC31xiv9BBgSaPqZuafU1h0YgbyHnNpZ-28UzVq7IaR1RqnIH5gjYrwp8jezwe5PjCasqq_Pd9mtIgiaLsLzjjttrxN7CxkH6tvSMdFQFq7_lNiDcE-Td0plYVjA0MGhl1RA.8TgLmLq99dK4NG1QhkAdAFODlvBz11MWVNA5JZPiMPI&dib_tag=se&keywords=jacket&qid=1718615417&sr=8-12,https://m.media-amazon.com/images/I/61YCt73E3sL.__AC_SX342_SY445_QL70_ML2_.jpg,jacket
Carhartt Men's Relaxed Fit Washed Duck Sherpa-Lined Utility Jacket,https://www.amazon.com/Carhartt-Bartlett-Jacket-Regular-Sizes/dp/B07RX5VMT8/ref=sr_1_14?dib=eyJ2IjoiMSJ9.TiTgc-cbOPMssjKCILq2pzmBpiF3a43FHcHBZ9ANFU_YiIp6juqHfG5EZYREceE0EMzr4457rrccmiKqR_OSdouV_4oOKI9ork1a9reROEmBm_LqCpQbiUqZn5qIm3KDPlBd5rWGb_hUZKQNm-JWhmFuR-a6z3M9JGr-n7UhC31xiv9BBgSaPqZuafU1h0YgbyHnNpZ-28UzVq7IaR1RqnIH5gjYrwp8jezwe5PjCasqq_Pd9mtIgiaLsLzjjttrxN7CxkH6tvSMdFQFq7_lNiDcE-Td0plYVjA0MGhl1RA.8TgLmLq99dK4NG1QhkAdAFODlvBz11MWVNA5JZPiMPI&dib_tag=se&keywords=jacket&qid=1718615417&sr=8-14,https://m.media-amazon.com/images/I/81PbyUi41AL.__AC_SY445_SX342_QL70_ML2_.jpg,jacket
Amazon Essentials Women's Sherpa Long-Sleeve Mock Neck Full-Zip Jacket with Woven Trim (Available in Plus Size),https://www.amazon.com/Amazon-Essentials-Long-Sleeve-Mockneck-Full-Zip/dp/B08SRX9SYH/ref=sr_1_15?dib=eyJ2IjoiMSJ9.TiTgc-cbOPMssjKCILq2pzmBpiF3a43FHcHBZ9ANFU_YiIp6juqHfG5EZYREceE0EMzr4457rrccmiKqR_OSdouV_4oOKI9ork1a9reROEmBm_LqCpQbiUqZn5qIm3KDPlBd5rWGb_hUZKQNm-JWhmFuR-a6z3M9JGr-n7UhC31xiv9BBgSaPqZuafU1h0YgbyHnNpZ-28UzVq7IaR1RqnIH5gjYrwp8jezwe5PjCasqq_Pd9mtIgiaLsLzjjttrxN7CxkH6tvSMdFQFq7_lNiDcE-Td0plYVjA0MGhl1RA.8TgLmLq99dK4NG1QhkAdAFODlvBz11MWVNA5JZPiMPI&dib_tag=se&keywords=jacket&qid=1718615417&sr=8-15,https://m.media-amazon.com/images/I/7142Cvom1ZL.__AC_SY445_SX342_QL70_ML2_.jpg,jacket
