title,linkn,imgurl,category
"SAMSUNG 32-inch Class LED Smart FHD TV 1080P (UN32N5300AFXZA, 2018 Model), Black",https://www.amazon.com/Samsung-Electronics-UN32N5300AFXZA-1080p-Smart/dp/B07CL4GLQW/ref=sr_1_1?dib=eyJ2IjoiMSJ9.JvkMLl-v4Tt5Mlq8nd2ooccLTYBKBpa6kviWLzJYYnL7MH65Tvl5P-caOZojRdc7Gzh32i2MPxPavI3uRYaisxUlSnhKF_dlbUddeqDQnpkUlgvvYA4jH-vIpE1HnE0pcbfY1v7k48BHjdriZfyMjl1ddPfURE9ix1OXYdGvXTxnmEhAp55t7M46HxKitpDFFtMeYIP8sENIx7aZ39azLt2cSUSXt6I4Mw5UPEoxzlA.OSLO8RrrHNLqzak2U2-YjypgQGhlAsrGWwzFLs4V0i8&dib_tag=se&keywords=television&qid=1718609386&sr=8-1,https://m.media-amazon.com/images/I/91snjIt0nUL.__AC_SY300_SX300_QL70_ML2_.jpg,television
"VIZIO 40-inch Full HD 1080p Smart TV with DTS Virtual: X, Alexa Compatibility, Chromecast Built-in, Bluetooth Headphone Capable, (VFD40M-08 New)",https://www.amazon.com/VIZIO-40-inch-1080p-Virtual-Built/dp/B0CXG3HMX1/ref=sr_1_10?dib=eyJ2IjoiMSJ9.JvkMLl-v4Tt5Mlq8nd2ooccLTYBKBpa6kviWLzJYYnL7MH65Tvl5P-caOZojRdc7Gzh32i2MPxPavI3uRYaisxUlSnhKF_dlbUddeqDQnpkUlgvvYA4jH-vIpE1HnE0pcbfY1v7k48BHjdriZfyMjl1ddPfURE9ix1OXYdGvXTxnmEhAp55t7M46HxKitpDFFtMeYIP8sENIx7aZ39azLt2cSUSXt6I4Mw5UPEoxzlA.OSLO8RrrHNLqzak2U2-YjypgQGhlAsrGWwzFLs4V0i8&dib_tag=se&keywords=television&qid=1718609386&sr=8-10,https://m.media-amazon.com/images/I/81JxAr7XgBL.__AC_SX300_SY300_QL70_ML2_.jpg,television
"INSIGNIA 24-inch Class F20 Series Smart Full HD 1080p Fire TV with Alexa Voice Remote (NS-24F202NA23, 2022 Model)",https://www.amazon.com/All-New-Insignia-24-inch-Class-NS-24F202NA23/dp/B09ZLTWXST/ref=sr_1_14?dib=eyJ2IjoiMSJ9.JvkMLl-v4Tt5Mlq8nd2ooccLTYBKBpa6kviWLzJYYnL7MH65Tvl5P-caOZojRdc7Gzh32i2MPxPavI3uRYaisxUlSnhKF_dlbUddeqDQnpkUlgvvYA4jH-vIpE1HnE0pcbfY1v7k48BHjdriZfyMjl1ddPfURE9ix1OXYdGvXTxnmEhAp55t7M46HxKitpDFFtMeYIP8sENIx7aZ39azLt2cSUSXt6I4Mw5UPEoxzlA.OSLO8RrrHNLqzak2U2-YjypgQGhlAsrGWwzFLs4V0i8&dib_tag=se&keywords=television&qid=1718609386&sr=8-14,https://m.media-amazon.com/images/I/81vZ8ic4VlL.__AC_SY445_SX342_QL70_ML2_.jpg,television
"Hisense A7 Series 50-Inch Class 4K UHD Smart Google TV with Voice Remote, Game Mode Plus, Chromecast Built-in (50A7N, 2024 Model)",https://www.amazon.com/Hisense-50-Inch-Google-Chromecast-50A7N/dp/B0CY4QPSVS/ref=sr_1_15?dib=eyJ2IjoiMSJ9.JvkMLl-v4Tt5Mlq8nd2ooccLTYBKBpa6kviWLzJYYnL7MH65Tvl5P-caOZojRdc7Gzh32i2MPxPavI3uRYaisxUlSnhKF_dlbUddeqDQnpkUlgvvYA4jH-vIpE1HnE0pcbfY1v7k48BHjdriZfyMjl1ddPfURE9ix1OXYdGvXTxnmEhAp55t7M46HxKitpDFFtMeYIP8sENIx7aZ39azLt2cSUSXt6I4Mw5UPEoxzlA.OSLO8RrrHNLqzak2U2-YjypgQGhlAsrGWwzFLs4V0i8&dib_tag=se&keywords=television&qid=1718609386&sr=8-15,https://m.media-amazon.com/images/I/91NlEQyC40L.__AC_SY300_SX300_QL70_ML2_.jpg,television
"SAMSUNG 50-Inch Class QLED 4K LS03D The Frame Series Quantum HDR Smart TV w/Dolby Atmos, Art Mode, Anti-Reflection, Customizable Frame, Slim Fit Wall Mount with Alexa Built-in (QN50LS03D, 2024 Model)",https://www.amazon.com/SAMSUNG-50-Inch-Anti-Reflection-Customizable-QN50LS03D/dp/B0CV9JZBG9/ref=sr_1_16?dib=eyJ2IjoiMSJ9.JvkMLl-v4Tt5Mlq8nd2ooccLTYBKBpa6kviWLzJYYnL7MH65Tvl5P-caOZojRdc7Gzh32i2MPxPavI3uRYaisxUlSnhKF_dlbUddeqDQnpkUlgvvYA4jH-vIpE1HnE0pcbfY1v7k48BHjdriZfyMjl1ddPfURE9ix1OXYdGvXTxnmEhAp55t7M46HxKitpDFFtMeYIP8sENIx7aZ39azLt2cSUSXt6I4Mw5UPEoxzlA.OSLO8RrrHNLqzak2U2-YjypgQGhlAsrGWwzFLs4V0i8&dib_tag=se&keywords=television&qid=1718609386&sr=8-16,https://m.media-amazon.com/images/I/81Cd-GnnqnL.__AC_SX300_SY300_QL70_ML2_.jpg,television
"Roku Smart TV – 43-Inch Select Series 4K HDR RokuTV Enhanced Voice Remote, Brilliant 4K Picture, Automatic Brightness, & Seamless Streaming – Live Local News, Sports, Family Entertainment",https://www.amazon.com/Roku-Brilliant-Automatic-Brightness-Streaming/dp/B0CLFSWK9V/ref=sr_1_17?dib=eyJ2IjoiMSJ9.ekoS-znHdBdQWwk78PpCFv4t1IYGNnp0ll1-NxvDznOOqfZsTmzHIeg3eT0jyiLxzu7lkBhtpk4dtQZSgVychi0230OxLWPFSgE_k_3DJGYrEbMsjMr9pjUx8J9N7n6iauXUMGmIIzt9seA11AZnXH0CiUoTp-69jC82dJvUiPwOEAauk1uYd6T7fulgNuzDrG7tl_9qR7oBwZjwje5l4MvBrSP5dBhGghfno5iATew.TndWUiph7etXv8CT6jR5bZ2lKrfyXscuqPY4BGzz0Yk&dib_tag=se&keywords=television&qid=1718609388&sr=8-17,https://m.media-amazon.com/images/I/71sux-6bmXL.__AC_SX300_SY300_QL70_ML2_.jpg,television
"TCL 75-Inch Q6 QLED 4K Smart TV with Fire TV (75Q650F, 2023 Model) Dolby Vision, Dolby Atmos, HDR Pro+, Voice Remote with Alexa, Streaming UHD Television,Black Including Built-in Amazon Alexa Remote",https://www.amazon.com/TCL-75-Inch-75Q650F-Streaming-Television/dp/B0C1J5BL57/ref=sr_1_21?dib=eyJ2IjoiMSJ9.ekoS-znHdBdQWwk78PpCFv4t1IYGNnp0ll1-NxvDznOOqfZsTmzHIeg3eT0jyiLxzu7lkBhtpk4dtQZSgVychi0230OxLWPFSgE_k_3DJGYrEbMsjMr9pjUx8J9N7n6iauXUMGmIIzt9seA11AZnXH0CiUoTp-69jC82dJvUiPwOEAauk1uYd6T7fulgNuzDrG7tl_9qR7oBwZjwje5l4MvBrSP5dBhGghfno5iATew.TndWUiph7etXv8CT6jR5bZ2lKrfyXscuqPY4BGzz0Yk&dib_tag=se&keywords=television&qid=1718609388&sr=8-21,https://m.media-amazon.com/images/I/81sH1DlryML.__AC_SX300_SY300_QL70_ML2_.jpg,television
"TCL 40-Inch Class S3 1080p LED Smart TV with Roku TV (40S350R, 2023 Model), Compatible with Alexa, Google Assistant, and Apple HomeKit Compatibility, Streaming FHD Television,Black",https://www.amazon.com/TCL-40S350R-Compatible-Compatibility-Television/dp/B0C1J1TWQM/ref=sr_1_22?dib=eyJ2IjoiMSJ9.ekoS-znHdBdQWwk78PpCFv4t1IYGNnp0ll1-NxvDznOOqfZsTmzHIeg3eT0jyiLxzu7lkBhtpk4dtQZSgVychi0230OxLWPFSgE_k_3DJGYrEbMsjMr9pjUx8J9N7n6iauXUMGmIIzt9seA11AZnXH0CiUoTp-69jC82dJvUiPwOEAauk1uYd6T7fulgNuzDrG7tl_9qR7oBwZjwje5l4MvBrSP5dBhGghfno5iATew.TndWUiph7etXv8CT6jR5bZ2lKrfyXscuqPY4BGzz0Yk&dib_tag=se&keywords=television&qid=1718609388&sr=8-22,https://m.media-amazon.com/images/I/81Vv5lv3yyL.__AC_SX300_SY300_QL70_ML2_.jpg,television
"SAMSUNG 70-Inch Class QLED 4K Q60D Series Quantum HDR Smart TV w/Object Tracking Sound Lite, Motion Xcelerator, Slim Design, Gaming Hub, Alexa Built-in (QN70Q60D, 2024 Model)",https://www.amazon.com/SAMSUNG-70-Inch-Tracking-Xcelerator-QN70Q60D/dp/B0CV9BV5X3/ref=sr_1_23?dib=eyJ2IjoiMSJ9.ekoS-znHdBdQWwk78PpCFv4t1IYGNnp0ll1-NxvDznOOqfZsTmzHIeg3eT0jyiLxzu7lkBhtpk4dtQZSgVychi0230OxLWPFSgE_k_3DJGYrEbMsjMr9pjUx8J9N7n6iauXUMGmIIzt9seA11AZnXH0CiUoTp-69jC82dJvUiPwOEAauk1uYd6T7fulgNuzDrG7tl_9qR7oBwZjwje5l4MvBrSP5dBhGghfno5iATew.TndWUiph7etXv8CT6jR5bZ2lKrfyXscuqPY4BGzz0Yk&dib_tag=se&keywords=television&qid=1718609388&sr=8-23,https://m.media-amazon.com/images/I/81ScYVlvRPL.__AC_SX300_SY300_QL70_ML2_.jpg,television
"Amazon Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Fire TV Ambient Experience, local dimming, hands-free with Alexa",https://www.amazon.com/introducing-amazon-fire-tv-55-inch-omni-qled-series-smart-tv/dp/B09N6ZRH6C/ref=sr_1_24?dib=eyJ2IjoiMSJ9.ekoS-znHdBdQWwk78PpCFv4t1IYGNnp0ll1-NxvDznOOqfZsTmzHIeg3eT0jyiLxzu7lkBhtpk4dtQZSgVychi0230OxLWPFSgE_k_3DJGYrEbMsjMr9pjUx8J9N7n6iauXUMGmIIzt9seA11AZnXH0CiUoTp-69jC82dJvUiPwOEAauk1uYd6T7fulgNuzDrG7tl_9qR7oBwZjwje5l4MvBrSP5dBhGghfno5iATew.TndWUiph7etXv8CT6jR5bZ2lKrfyXscuqPY4BGzz0Yk&dib_tag=se&keywords=television&qid=1718609388&sr=8-24,https://m.media-amazon.com/images/I/811cBY+iEdL._AC_SY300_SX300_.jpg,television
"Amazon Fire TV 75"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",https://www.amazon.com/amazon-fire-tv-75-inch-omni-series-4k-smart-tv/dp/B08T6JZTH4/ref=sr_1_26?dib=eyJ2IjoiMSJ9.ekoS-znHdBdQWwk78PpCFv4t1IYGNnp0ll1-NxvDznOOqfZsTmzHIeg3eT0jyiLxzu7lkBhtpk4dtQZSgVychi0230OxLWPFSgE_k_3DJGYrEbMsjMr9pjUx8J9N7n6iauXUMGmIIzt9seA11AZnXH0CiUoTp-69jC82dJvUiPwOEAauk1uYd6T7fulgNuzDrG7tl_9qR7oBwZjwje5l4MvBrSP5dBhGghfno5iATew.TndWUiph7etXv8CT6jR5bZ2lKrfyXscuqPY4BGzz0Yk&dib_tag=se&keywords=television&qid=1718609388&sr=8-26,https://m.media-amazon.com/images/I/61oZoXebslL._AC_SY300_SX300_.jpg,television
"TCL 40-Inch Class S3 1080p LED Smart TV with Fire TV (40S350F, 2023 Model), Alexa Built-in, Apple AirPlay Compatibility, Streaming FHD Television,Black",https://www.amazon.com/TCL-40S350F-Compatibility-Streaming-Television/dp/B0C1J2SVKD/ref=sr_1_27?dib=eyJ2IjoiMSJ9.ekoS-znHdBdQWwk78PpCFv4t1IYGNnp0ll1-NxvDznOOqfZsTmzHIeg3eT0jyiLxzu7lkBhtpk4dtQZSgVychi0230OxLWPFSgE_k_3DJGYrEbMsjMr9pjUx8J9N7n6iauXUMGmIIzt9seA11AZnXH0CiUoTp-69jC82dJvUiPwOEAauk1uYd6T7fulgNuzDrG7tl_9qR7oBwZjwje5l4MvBrSP5dBhGghfno5iATew.TndWUiph7etXv8CT6jR5bZ2lKrfyXscuqPY4BGzz0Yk&dib_tag=se&keywords=television&qid=1718609388&sr=8-27,https://m.media-amazon.com/images/I/81j6qoH660L.__AC_SX300_SY300_QL70_ML2_.jpg,television
