title,linkn,imgurl,category
Janasya Indian Women's Tunic Tops Crepe Kurti Set with Dupatta for Women,https://www.amazon.com/Janasya-Indian-Dupatta-SET058-KR-NP-XXL-Turquoise/dp/B07R4M7PLM/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Gmz3qEkmfHJGD3PV1FoHx4_r-3R-uC4SuzfXjz0HZXRPvU10PV0nLv-sPy_iazvPAIFKIShcAbmnpmkCz-iUl4qjBVqOQy_MHg9dp1lPydFvlnk0MU0mdzgCCIypoEpxSv-xDhUbUpVsfuoteEvfmx98HyuTNpYzPG0vHOMKoY6ezjkoEjXEixWSCCssrBiB-OPnB68vr4vGvMw7qQiyolPd7nIrNAzW9J8BVBZUSxwmd7DyiQwWJ4f1jl-xcwraq6pHqIAfb_hhE6RjZM-B3O7gnHDReVV1TVAsgJa_Q3s.drSQ-i5HmR6skPrLn3U1hS6_lpefpIBDaLvlviFGu8s&dib_tag=se&keywords=salwar+suit&qid=1718940110&sr=8-3,https://m.media-amazon.com/images/I/71wQ3t7L2xL.__AC_SX342_SY445_QL70_ML2_.jpg,salwar+suit
ladyline Women's Formal Cotton Salwar Kameez - Elegant Printed Embroidered with Maslin Silk Dupatta,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1OTAxOTEzNDEzMTYxMjU4OjE3MTg5NDAxMTA6c3Bfc2VhcmNoX3RoZW1hdGljOjo6MjpCMEQ2QzFCSFFHOnNlYXJjaA&url=%2Fladyline-Womens-Formal-Cotton-Salwar%2Fdp%2FB0D6C1BHQG%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.1eb3ca68-a7a7-4620-b6d3-e5aa25dca968%253Aamzn1.sym.1eb3ca68-a7a7-4620-b6d3-e5aa25dca968%26cv_ct_cx%3Dsalwar%2Bsuit%26dib%3DeyJ2IjoiMSJ9.GIbmZ4zeppxhdIvl-Qm_DVibX1sheqQYFY6gggmhOMcFCTge3Ykt42NmiXrANrBfAxwXqHR2PZ7kP0KfyRKzVf8DP-TjEE1mUdH_JiKcWhE.TBAM1Y-Rr8ubKHznY-EYJf8MKBsZ1d_OwrukxfyiuMc%26dib_tag%3Dse%26keywords%3Dsalwar%2Bsuit%26pd_rd_i%3DB0D6C1BHQG%26pd_rd_r%3Dbe17b1b1-47dc-4cc7-a18c-cf34e543af96%26pd_rd_w%3DrEYov%26pd_rd_wg%3DEeXYm%26pf_rd_p%3D1eb3ca68-a7a7-4620-b6d3-e5aa25dca968%26pf_rd_r%3D9DZP12YSHNPWZJABP0N1%26qid%3D1718940110%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-6b0a36a0-7223-4d6d-a074-78a833921c23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/710yrfi17+L._AC_SY445_SX342_.jpg,salwar+suit
STELLACOUTURE Indian Pakistani Salwar Kameez suit ready to wear embroidered plus size eid festival for women 1081-O,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1OTAxOTEzNDEzMTYxMjU4OjE3MTg5NDAxMTA6c3Bfc2VhcmNoX3RoZW1hdGljOjo6NjpCMEQ0N1dITUc5OnNlYXJjaA&url=%2FSTELLACOUTURE-Indian-Pakistani-embroidered-festival%2Fdp%2FB0D47WHMG9%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.1eb3ca68-a7a7-4620-b6d3-e5aa25dca968%253Aamzn1.sym.1eb3ca68-a7a7-4620-b6d3-e5aa25dca968%26cv_ct_cx%3Dsalwar%2Bsuit%26dib%3DeyJ2IjoiMSJ9.GIbmZ4zeppxhdIvl-Qm_DVibX1sheqQYFY6gggmhOMcFCTge3Ykt42NmiXrANrBfAxwXqHR2PZ7kP0KfyRKzVf8DP-TjEE1mUdH_JiKcWhE.TBAM1Y-Rr8ubKHznY-EYJf8MKBsZ1d_OwrukxfyiuMc%26dib_tag%3Dse%26keywords%3Dsalwar%2Bsuit%26pd_rd_i%3DB0D47WHMG9%26pd_rd_r%3Dbe17b1b1-47dc-4cc7-a18c-cf34e543af96%26pd_rd_w%3DrEYov%26pd_rd_wg%3DEeXYm%26pf_rd_p%3D1eb3ca68-a7a7-4620-b6d3-e5aa25dca968%26pf_rd_r%3D9DZP12YSHNPWZJABP0N1%26qid%3D1718940110%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-6-6b0a36a0-7223-4d6d-a074-78a833921c23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/81DlJ6G04sL.__AC_SX342_SY445_QL70_ML2_.jpg,salwar+suit
"Women's Anarkali Kurti Tunic with Dupatta, Ethnic Indian Pakistani Suit for Party Wear, Pink",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1OTAxOTEzNDEzMTYxMjU4OjE3MTg5NDAxMTA6c3Bfc2VhcmNoX3RoZW1hdGljOjo6NzpCMEQ1QlBIWlBUOnNlYXJjaA&url=%2FGeneric-Anarkali-Dupatta-Pakistani-Barohmasi001%2Fdp%2FB0D5BPHZPT%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.1eb3ca68-a7a7-4620-b6d3-e5aa25dca968%253Aamzn1.sym.1eb3ca68-a7a7-4620-b6d3-e5aa25dca968%26cv_ct_cx%3Dsalwar%2Bsuit%26dib%3DeyJ2IjoiMSJ9.GIbmZ4zeppxhdIvl-Qm_DVibX1sheqQYFY6gggmhOMcFCTge3Ykt42NmiXrANrBfAxwXqHR2PZ7kP0KfyRKzVf8DP-TjEE1mUdH_JiKcWhE.TBAM1Y-Rr8ubKHznY-EYJf8MKBsZ1d_OwrukxfyiuMc%26dib_tag%3Dse%26keywords%3Dsalwar%2Bsuit%26pd_rd_i%3DB0D5BPHZPT%26pd_rd_r%3Dbe17b1b1-47dc-4cc7-a18c-cf34e543af96%26pd_rd_w%3DrEYov%26pd_rd_wg%3DEeXYm%26pf_rd_p%3D1eb3ca68-a7a7-4620-b6d3-e5aa25dca968%26pf_rd_r%3D9DZP12YSHNPWZJABP0N1%26qid%3D1718940110%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-7-6b0a36a0-7223-4d6d-a074-78a833921c23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/61WOKs9gyJL.__AC_SY445_SX342_QL70_ML2_.jpg,salwar+suit
Chikankari Kurtis for Women Pakistani Salwar Kameez Suit Set Indian Dresses Cream White Kurti Pant & Dupatta Set,https://www.amazon.com/Chikankari-Kurtis-Pakistani-Dresses-Dupatta/dp/B0CC8GGPF6/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Gmz3qEkmfHJGD3PV1FoHx4_r-3R-uC4SuzfXjz0HZXRPvU10PV0nLv-sPy_iazvPAIFKIShcAbmnpmkCz-iUl4qjBVqOQy_MHg9dp1lPydFvlnk0MU0mdzgCCIypoEpxSv-xDhUbUpVsfuoteEvfmx98HyuTNpYzPG0vHOMKoY6ezjkoEjXEixWSCCssrBiB-OPnB68vr4vGvMw7qQiyolPd7nIrNAzW9J8BVBZUSxwmd7DyiQwWJ4f1jl-xcwraq6pHqIAfb_hhE6RjZM-B3O7gnHDReVV1TVAsgJa_Q3s.drSQ-i5HmR6skPrLn3U1hS6_lpefpIBDaLvlviFGu8s&dib_tag=se&keywords=salwar+suit&qid=1718940110&sr=8-7,https://m.media-amazon.com/images/I/81s65-AHSxL.__AC_SX342_SY445_QL70_ML2_.jpg,salwar+suit
Shopping Queen Women's Silk Chikankari Kurta Pant & Dupatta Set,https://www.amazon.com/Shopping-Queen-Silk-Chikankari-A390_Dusty/dp/B0BPR81KP5/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Gmz3qEkmfHJGD3PV1FoHx4_r-3R-uC4SuzfXjz0HZXRPvU10PV0nLv-sPy_iazvPAIFKIShcAbmnpmkCz-iUl4qjBVqOQy_MHg9dp1lPydFvlnk0MU0mdzgCCIypoEpxSv-xDhUbUpVsfuoteEvfmx98HyuTNpYzPG0vHOMKoY6ezjkoEjXEixWSCCssrBiB-OPnB68vr4vGvMw7qQiyolPd7nIrNAzW9J8BVBZUSxwmd7DyiQwWJ4f1jl-xcwraq6pHqIAfb_hhE6RjZM-B3O7gnHDReVV1TVAsgJa_Q3s.drSQ-i5HmR6skPrLn3U1hS6_lpefpIBDaLvlviFGu8s&dib_tag=se&keywords=salwar+suit&qid=1718940110&sr=8-9,https://m.media-amazon.com/images/I/616haJspnCL.__AC_SX342_SY445_QL70_ML2_.jpg,salwar+suit
Women's Floral Printed Pure Cotton Kurti Palazzo Pants Set with Dupatta,https://www.amazon.com/Arayna-Womens-Printed-Trousers-Dupatta/dp/B09J2MM5JN/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Gmz3qEkmfHJGD3PV1FoHx4_r-3R-uC4SuzfXjz0HZXRPvU10PV0nLv-sPy_iazvPAIFKIShcAbmnpmkCz-iUl4qjBVqOQy_MHg9dp1lPydFvlnk0MU0mdzgCCIypoEpxSv-xDhUbUpVsfuoteEvfmx98HyuTNpYzPG0vHOMKoY6ezjkoEjXEixWSCCssrBiB-OPnB68vr4vGvMw7qQiyolPd7nIrNAzW9J8BVBZUSxwmd7DyiQwWJ4f1jl-xcwraq6pHqIAfb_hhE6RjZM-B3O7gnHDReVV1TVAsgJa_Q3s.drSQ-i5HmR6skPrLn3U1hS6_lpefpIBDaLvlviFGu8s&dib_tag=se&keywords=salwar+suit&qid=1718940110&sr=8-10,https://m.media-amazon.com/images/I/81i90F4GFOL.__AC_SX342_SY445_QL70_ML2_.jpg,salwar+suit
Women Rayon Anarkali Embroidered Printed Anarkali Salwar Kameez,https://www.amazon.com/Rangnavi-Anarkali-Embroidered-Printed-XX-Large/dp/B0BPY4RXD3/ref=sr_1_12?dib=eyJ2IjoiMSJ9.Gmz3qEkmfHJGD3PV1FoHx4_r-3R-uC4SuzfXjz0HZXRPvU10PV0nLv-sPy_iazvPAIFKIShcAbmnpmkCz-iUl4qjBVqOQy_MHg9dp1lPydFvlnk0MU0mdzgCCIypoEpxSv-xDhUbUpVsfuoteEvfmx98HyuTNpYzPG0vHOMKoY6ezjkoEjXEixWSCCssrBiB-OPnB68vr4vGvMw7qQiyolPd7nIrNAzW9J8BVBZUSxwmd7DyiQwWJ4f1jl-xcwraq6pHqIAfb_hhE6RjZM-B3O7gnHDReVV1TVAsgJa_Q3s.drSQ-i5HmR6skPrLn3U1hS6_lpefpIBDaLvlviFGu8s&dib_tag=se&keywords=salwar+suit&qid=1718940110&sr=8-12,https://m.media-amazon.com/images/I/41HnNEzSeCL.__AC_SY445_SX342_QL70_ML2_.jpg,salwar+suit
Janasya Indian Women's Beige Block Print Kurta with Palazzo and Dupatta,https://www.amazon.com/Janasya-Indian-Off-White-Dupatta-SET268-KR-NP-M/dp/B08XQB2HKR/ref=sr_1_14?dib=eyJ2IjoiMSJ9.Gmz3qEkmfHJGD3PV1FoHx4_r-3R-uC4SuzfXjz0HZXRPvU10PV0nLv-sPy_iazvPAIFKIShcAbmnpmkCz-iUl4qjBVqOQy_MHg9dp1lPydFvlnk0MU0mdzgCCIypoEpxSv-xDhUbUpVsfuoteEvfmx98HyuTNpYzPG0vHOMKoY6ezjkoEjXEixWSCCssrBiB-OPnB68vr4vGvMw7qQiyolPd7nIrNAzW9J8BVBZUSxwmd7DyiQwWJ4f1jl-xcwraq6pHqIAfb_hhE6RjZM-B3O7gnHDReVV1TVAsgJa_Q3s.drSQ-i5HmR6skPrLn3U1hS6_lpefpIBDaLvlviFGu8s&dib_tag=se&keywords=salwar+suit&qid=1718940110&sr=8-14,https://m.media-amazon.com/images/I/71omn81gAAL.__AC_SX342_SY445_QL70_ML2_.jpg,salwar+suit
Vrnda Indian Cotton Straight Bandhej Printed Red Kurti Pant and Dupatta Set for Women,https://www.amazon.com/Vrnda-Straight-Bandhej-Printed-Embroidery/dp/B09M9RKPJ1/ref=sr_1_15?dib=eyJ2IjoiMSJ9.Gmz3qEkmfHJGD3PV1FoHx4_r-3R-uC4SuzfXjz0HZXRPvU10PV0nLv-sPy_iazvPAIFKIShcAbmnpmkCz-iUl4qjBVqOQy_MHg9dp1lPydFvlnk0MU0mdzgCCIypoEpxSv-xDhUbUpVsfuoteEvfmx98HyuTNpYzPG0vHOMKoY6ezjkoEjXEixWSCCssrBiB-OPnB68vr4vGvMw7qQiyolPd7nIrNAzW9J8BVBZUSxwmd7DyiQwWJ4f1jl-xcwraq6pHqIAfb_hhE6RjZM-B3O7gnHDReVV1TVAsgJa_Q3s.drSQ-i5HmR6skPrLn3U1hS6_lpefpIBDaLvlviFGu8s&dib_tag=se&keywords=salwar+suit&qid=1718940110&sr=8-15,https://m.media-amazon.com/images/I/91cioII528L.__AC_SX342_SY445_QL70_ML2_.jpg,salwar+suit
