title,linkn,imgurl,category
Indian Tunic Cotton Gold Print Anarkali Kurtis for Women (Red),https://www.amazon.com/Cotton-Printed-Anarkali-Kurtis-Women/dp/B07RG5T8ZL/ref=sr_1_5?dib=eyJ2IjoiMSJ9.S26PYg63D-moUqpNxa08y5_xgIZubQthSqAvqreLd9bf19NzlvkIPziIQhVVfYT1pz-Hc3G_2eRXH-4GvnPP_jLKeswnsmCWmkfWLL0qhuiz-udH2dIAqTviSXOOdOMfZlUcG49rQq-9ZN6ds6iAHVrC12dVD3v1rFhB0r00_9g2D5y6ww2JheRzHLVuJtsBNmfxK3mpQkcEaTXre-tw8esEoihQ0iFUC3r333hiFpTwIyo4Y88SZ6xs7zNEzAf6RoUYXVNnfGdPwBU6jXlMLtLKfgV0h74-aRQsVLeH6ZM.upa5_TPQ8jq4jpKHrzGiGsOdPZQZjAV9yCw97zQ1O2o&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987476&sr=8-5,https://m.media-amazon.com/images/I/71F9sYTKmHS.__AC_SY445_SX342_QL70_ML2_.jpg,printed+kurtas+for+women
Women's Cotton Printed Straight Kurta With Palazzo & Dupatta Set,https://www.amazon.com/Meera-Fab-Printed-Straight-XXX-Large/dp/B0CCYJP95Y/ref=sr_1_7?dib=eyJ2IjoiMSJ9.S26PYg63D-moUqpNxa08y5_xgIZubQthSqAvqreLd9bf19NzlvkIPziIQhVVfYT1pz-Hc3G_2eRXH-4GvnPP_jLKeswnsmCWmkfWLL0qhuiz-udH2dIAqTviSXOOdOMfZlUcG49rQq-9ZN6ds6iAHVrC12dVD3v1rFhB0r00_9g2D5y6ww2JheRzHLVuJtsBNmfxK3mpQkcEaTXre-tw8esEoihQ0iFUC3r333hiFpTwIyo4Y88SZ6xs7zNEzAf6RoUYXVNnfGdPwBU6jXlMLtLKfgV0h74-aRQsVLeH6ZM.upa5_TPQ8jq4jpKHrzGiGsOdPZQZjAV9yCw97zQ1O2o&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987476&sr=8-7,https://m.media-amazon.com/images/I/61GzQN-3FqL.__AC_SY445_SX342_QL70_ML2_.jpg,printed+kurtas+for+women
Women's Floral Printed 100% Cotton Kurti Palazzo Pants Set with Dupatta,https://www.amazon.com/Arayna-Womens-Printed-Palazzo-Dupatta/dp/B0BGC6HT1B/ref=sr_1_10?dib=eyJ2IjoiMSJ9.S26PYg63D-moUqpNxa08y5_xgIZubQthSqAvqreLd9bf19NzlvkIPziIQhVVfYT1pz-Hc3G_2eRXH-4GvnPP_jLKeswnsmCWmkfWLL0qhuiz-udH2dIAqTviSXOOdOMfZlUcG49rQq-9ZN6ds6iAHVrC12dVD3v1rFhB0r00_9g2D5y6ww2JheRzHLVuJtsBNmfxK3mpQkcEaTXre-tw8esEoihQ0iFUC3r333hiFpTwIyo4Y88SZ6xs7zNEzAf6RoUYXVNnfGdPwBU6jXlMLtLKfgV0h74-aRQsVLeH6ZM.upa5_TPQ8jq4jpKHrzGiGsOdPZQZjAV9yCw97zQ1O2o&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987476&sr=8-10,https://m.media-amazon.com/images/I/81SKJlMA+0L._AC_SY445_SX342_.jpg,printed+kurtas+for+women
"Idalia Straight Cotton Kurta with Palazzo Pant Set - Ideal for Wedding & Festive Occasions - 3/4 Sleeve, Round Neck",https://www.amazon.com/Idalia-Womens-Cotton-Printed-Palazzo/dp/B07HRQ8MF4/ref=sr_1_12?dib=eyJ2IjoiMSJ9.S26PYg63D-moUqpNxa08y5_xgIZubQthSqAvqreLd9bf19NzlvkIPziIQhVVfYT1pz-Hc3G_2eRXH-4GvnPP_jLKeswnsmCWmkfWLL0qhuiz-udH2dIAqTviSXOOdOMfZlUcG49rQq-9ZN6ds6iAHVrC12dVD3v1rFhB0r00_9g2D5y6ww2JheRzHLVuJtsBNmfxK3mpQkcEaTXre-tw8esEoihQ0iFUC3r333hiFpTwIyo4Y88SZ6xs7zNEzAf6RoUYXVNnfGdPwBU6jXlMLtLKfgV0h74-aRQsVLeH6ZM.upa5_TPQ8jq4jpKHrzGiGsOdPZQZjAV9yCw97zQ1O2o&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987476&sr=8-12,https://m.media-amazon.com/images/I/6148dDsWX-L.__AC_SY445_SX342_QL70_ML2_.jpg,printed+kurtas+for+women
Yash Gallery Women's Rayon Floral Printed Short Kurta,https://www.amazon.com/Yash-Gallery-Womens-Floral-Printed/dp/B09QXFQ8G1/ref=sr_1_16?dib=eyJ2IjoiMSJ9.S26PYg63D-moUqpNxa08y5_xgIZubQthSqAvqreLd9bf19NzlvkIPziIQhVVfYT1pz-Hc3G_2eRXH-4GvnPP_jLKeswnsmCWmkfWLL0qhuiz-udH2dIAqTviSXOOdOMfZlUcG49rQq-9ZN6ds6iAHVrC12dVD3v1rFhB0r00_9g2D5y6ww2JheRzHLVuJtsBNmfxK3mpQkcEaTXre-tw8esEoihQ0iFUC3r333hiFpTwIyo4Y88SZ6xs7zNEzAf6RoUYXVNnfGdPwBU6jXlMLtLKfgV0h74-aRQsVLeH6ZM.upa5_TPQ8jq4jpKHrzGiGsOdPZQZjAV9yCw97zQ1O2o&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987476&sr=8-16,https://m.media-amazon.com/images/I/71ZwId6uZlL.__AC_SX342_SY445_QL70_ML2_.jpg,printed+kurtas+for+women
Indian Kurti for Womens With Pant & Dupatta |Rayon Printed Kurta Kurtis For Women Tunic Set,https://www.amazon.com/Indian-Dupatta-Womens-Printed-Kurtis/dp/B09BJDFLZ9/ref=sr_1_19?dib=eyJ2IjoiMSJ9.S26PYg63D-moUqpNxa08y5_xgIZubQthSqAvqreLd9bf19NzlvkIPziIQhVVfYT1pz-Hc3G_2eRXH-4GvnPP_jLKeswnsmCWmkfWLL0qhuiz-udH2dIAqTviSXOOdOMfZlUcG49rQq-9ZN6ds6iAHVrC12dVD3v1rFhB0r00_9g2D5y6ww2JheRzHLVuJtsBNmfxK3mpQkcEaTXre-tw8esEoihQ0iFUC3r333hiFpTwIyo4Y88SZ6xs7zNEzAf6RoUYXVNnfGdPwBU6jXlMLtLKfgV0h74-aRQsVLeH6ZM.upa5_TPQ8jq4jpKHrzGiGsOdPZQZjAV9yCw97zQ1O2o&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987476&sr=8-19,https://m.media-amazon.com/images/I/81OLEZwOBoL.__AC_SX342_SY445_QL70_ML2_.jpg,printed+kurtas+for+women
Indian Kurti for Womens With Pant & Dupatta | Rayon Foil Printed Long Kurta Partywear Kurtis For Women Tunic Tops,https://www.amazon.com/Indian-Womens-Dupatta-Printed-Partywear/dp/B0BGBRR6N4/ref=sr_1_24?dib=eyJ2IjoiMSJ9.S26PYg63D-moUqpNxa08y5_xgIZubQthSqAvqreLd9bf19NzlvkIPziIQhVVfYT1pz-Hc3G_2eRXH-4GvnPP_jLKeswnsmCWmkfWLL0qhuiz-udH2dIAqTviSXOOdOMfZlUcG49rQq-9ZN6ds6iAHVrC12dVD3v1rFhB0r00_9g2D5y6ww2JheRzHLVuJtsBNmfxK3mpQkcEaTXre-tw8esEoihQ0iFUC3r333hiFpTwIyo4Y88SZ6xs7zNEzAf6RoUYXVNnfGdPwBU6jXlMLtLKfgV0h74-aRQsVLeH6ZM.upa5_TPQ8jq4jpKHrzGiGsOdPZQZjAV9yCw97zQ1O2o&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987476&sr=8-24,https://m.media-amazon.com/images/I/71abceUNWqL.__AC_SX342_SY445_QL70_ML2_.jpg,printed+kurtas+for+women
Vaamsi Ahika Women's Cotton Printed Kurta (VCK1318_Pink),https://www.amazon.com/Vaamsi-Womens-Cotton-Printed-VCK1318_XL_Pink/dp/B08WC47JD4/ref=sr_1_27?dib=eyJ2IjoiMSJ9.S26PYg63D-moUqpNxa08y5_xgIZubQthSqAvqreLd9bf19NzlvkIPziIQhVVfYT1pz-Hc3G_2eRXH-4GvnPP_jLKeswnsmCWmkfWLL0qhuiz-udH2dIAqTviSXOOdOMfZlUcG49rQq-9ZN6ds6iAHVrC12dVD3v1rFhB0r00_9g2D5y6ww2JheRzHLVuJtsBNmfxK3mpQkcEaTXre-tw8esEoihQ0iFUC3r333hiFpTwIyo4Y88SZ6xs7zNEzAf6RoUYXVNnfGdPwBU6jXlMLtLKfgV0h74-aRQsVLeH6ZM.upa5_TPQ8jq4jpKHrzGiGsOdPZQZjAV9yCw97zQ1O2o&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987476&sr=8-27,https://m.media-amazon.com/images/I/61am7JLywTL.__AC_SX342_SY445_QL70_ML2_.jpg,printed+kurtas+for+women
Tissu Women's Sage Green & Pink Floral Printed Flared Kurta,https://www.amazon.com/Tissu-Womens-Floral-Printed-Green_6XL/dp/B08TC7FZ67/ref=sr_1_29?dib=eyJ2IjoiMSJ9.S26PYg63D-moUqpNxa08y5_xgIZubQthSqAvqreLd9bf19NzlvkIPziIQhVVfYT1pz-Hc3G_2eRXH-4GvnPP_jLKeswnsmCWmkfWLL0qhuiz-udH2dIAqTviSXOOdOMfZlUcG49rQq-9ZN6ds6iAHVrC12dVD3v1rFhB0r00_9g2D5y6ww2JheRzHLVuJtsBNmfxK3mpQkcEaTXre-tw8esEoihQ0iFUC3r333hiFpTwIyo4Y88SZ6xs7zNEzAf6RoUYXVNnfGdPwBU6jXlMLtLKfgV0h74-aRQsVLeH6ZM.upa5_TPQ8jq4jpKHrzGiGsOdPZQZjAV9yCw97zQ1O2o&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987476&sr=8-29,https://m.media-amazon.com/images/I/61WSaGCerQL.__AC_SY445_SX342_QL70_ML2_.jpg,printed+kurtas+for+women
Vihaan Impex Printed Casual Red Tunic for Women Long Kurta Kurti 3/4 Sleeve,https://www.amazon.com/VIHAAN-IMPEX-Printed-Sleeves-regular/dp/B0BTW39NYX/ref=sr_1_33?dib=eyJ2IjoiMSJ9.S26PYg63D-moUqpNxa08y5_xgIZubQthSqAvqreLd9bf19NzlvkIPziIQhVVfYT1pz-Hc3G_2eRXH-4GvnPP_jLKeswnsmCWmkfWLL0qhuiz-udH2dIAqTviSXOOdOMfZlUcG49rQq-9ZN6ds6iAHVrC12dVD3v1rFhB0r00_9g2D5y6ww2JheRzHLVuJtsBNmfxK3mpQkcEaTXre-tw8esEoihQ0iFUC3r333hiFpTwIyo4Y88SZ6xs7zNEzAf6RoUYXVNnfGdPwBU6jXlMLtLKfgV0h74-aRQsVLeH6ZM.upa5_TPQ8jq4jpKHrzGiGsOdPZQZjAV9yCw97zQ1O2o&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987476&sr=8-33,https://m.media-amazon.com/images/I/91V+fCco0DL._AC_SY445_SX342_.jpg,printed+kurtas+for+women
Tissu Women's Maroon & White Floral Printed Kurta,https://www.amazon.com/Tissu-Womens-Maroon-Printed-2051_Maroon_8XL/dp/B08TC9B29X/ref=sr_1_37?dib=eyJ2IjoiMSJ9.S26PYg63D-moUqpNxa08y5_xgIZubQthSqAvqreLd9bf19NzlvkIPziIQhVVfYT1pz-Hc3G_2eRXH-4GvnPP_jLKeswnsmCWmkfWLL0qhuiz-udH2dIAqTviSXOOdOMfZlUcG49rQq-9ZN6ds6iAHVrC12dVD3v1rFhB0r00_9g2D5y6ww2JheRzHLVuJtsBNmfxK3mpQkcEaTXre-tw8esEoihQ0iFUC3r333hiFpTwIyo4Y88SZ6xs7zNEzAf6RoUYXVNnfGdPwBU6jXlMLtLKfgV0h74-aRQsVLeH6ZM.upa5_TPQ8jq4jpKHrzGiGsOdPZQZjAV9yCw97zQ1O2o&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987476&sr=8-37,https://m.media-amazon.com/images/I/714ohH6PpVL.__AC_SY445_SX342_QL70_ML2_.jpg,printed+kurtas+for+women
Yash Gallery Rayon Floral Printed Anarkali Kurtis for Women Indian Style,https://www.amazon.com/GALLERY-Womens-Floral-Printed-Anarkali/dp/B08SK1L9H4/ref=sr_1_45?dib=eyJ2IjoiMSJ9.S26PYg63D-moUqpNxa08y5_xgIZubQthSqAvqreLd9bf19NzlvkIPziIQhVVfYT1pz-Hc3G_2eRXH-4GvnPP_jLKeswnsmCWmkfWLL0qhuiz-udH2dIAqTviSXOOdOMfZlUcG49rQq-9ZN6ds6iAHVrC12dVD3v1rFhB0r00_9g2D5y6ww2JheRzHLVuJtsBNmfxK3mpQkcEaTXre-tw8esEoihQ0iFUC3r333hiFpTwIyo4Y88SZ6xs7zNEzAf6RoUYXVNnfGdPwBU6jXlMLtLKfgV0h74-aRQsVLeH6ZM.upa5_TPQ8jq4jpKHrzGiGsOdPZQZjAV9yCw97zQ1O2o&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987476&sr=8-45,https://m.media-amazon.com/images/I/81YaTxYj+ES._AC_SY445_SX342_.jpg,printed+kurtas+for+women
Women's Chinon Embroidery Kurta Set with Dupatta,https://www.amazon.com/SIRIL-Chinnon-Embroidery-Printed-Dupatta/dp/B0B97VM3KV/ref=sr_1_46?dib=eyJ2IjoiMSJ9.S26PYg63D-moUqpNxa08y5_xgIZubQthSqAvqreLd9bf19NzlvkIPziIQhVVfYT1pz-Hc3G_2eRXH-4GvnPP_jLKeswnsmCWmkfWLL0qhuiz-udH2dIAqTviSXOOdOMfZlUcG49rQq-9ZN6ds6iAHVrC12dVD3v1rFhB0r00_9g2D5y6ww2JheRzHLVuJtsBNmfxK3mpQkcEaTXre-tw8esEoihQ0iFUC3r333hiFpTwIyo4Y88SZ6xs7zNEzAf6RoUYXVNnfGdPwBU6jXlMLtLKfgV0h74-aRQsVLeH6ZM.upa5_TPQ8jq4jpKHrzGiGsOdPZQZjAV9yCw97zQ1O2o&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987476&sr=8-46,https://m.media-amazon.com/images/I/61o4sN0lkcL.__AC_SX342_SY445_QL70_ML2_.jpg,printed+kurtas+for+women
"Women's Cotton Printed Floral Straight Kurta with Palazzo Pants and Printed Dupatta, Light Blue",https://www.amazon.com/Arayna-Printed-Straight-Palazzo-Dupatta/dp/B0CHSB6Z24/ref=sr_1_49?dib=eyJ2IjoiMSJ9.OwxYCA38qfYnTXlebyirUZ6Ya-iuE1748tCdpHJXrYMVGuf0dNbBFnhFrqLe7LD1Mmx8Rdod09_y_6tnKqY0E6JMdzEUJ7B2UcZmv1FEG1cHDQz95sHW-d-AeOEMZblDR5zTodrNcTCf9K1Po5M8WLLi-eUAtL8UEE-_meo6arTjmZDAMK0YENlFNUaSTz-d-yL2RoxF3-fGynyJqIi9jdmaAnQ5nJ99rjxmj8VELfsticMs14zSE2e972jY3hjmjRGaGrsJDtsh2nsHtYeQ17ehSY7AOu6j5zrHboEfmz4.TdD3BSyPLevBChu-dRGcRvq5YJDgYq1wxf84PTzsA18&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987478&sr=8-49,https://m.media-amazon.com/images/I/717uJwrIUDL.__AC_SX342_SY445_QL70_ML2_.jpg,printed+kurtas+for+women
Janasya Women's Pink Cotton Kurta with Palazzo,https://www.amazon.com/Janasya-Womens-Cotton-Palazzo-SET236-KR-PP-XXL/dp/B08QHP2LDD/ref=sr_1_52?dib=eyJ2IjoiMSJ9.OwxYCA38qfYnTXlebyirUZ6Ya-iuE1748tCdpHJXrYMVGuf0dNbBFnhFrqLe7LD1Mmx8Rdod09_y_6tnKqY0E6JMdzEUJ7B2UcZmv1FEG1cHDQz95sHW-d-AeOEMZblDR5zTodrNcTCf9K1Po5M8WLLi-eUAtL8UEE-_meo6arTjmZDAMK0YENlFNUaSTz-d-yL2RoxF3-fGynyJqIi9jdmaAnQ5nJ99rjxmj8VELfsticMs14zSE2e972jY3hjmjRGaGrsJDtsh2nsHtYeQ17ehSY7AOu6j5zrHboEfmz4.TdD3BSyPLevBChu-dRGcRvq5YJDgYq1wxf84PTzsA18&dib_tag=se&keywords=printed+kurtas+for+women&qid=1718987478&sr=8-52,https://m.media-amazon.com/images/I/71WxqS1gYDL.__AC_SX342_SY445_QL70_ML2_.jpg,printed+kurtas+for+women
